y_test,y_pred,Porosity
8.3092,5.197523013,47.9495
7.4606,5.35563294,50.1729
4.859,5.887340009,69.5209
6.3805,8.683114693,76.5149
6.5749,7.364768959,52.176
6.1209,6.727167344,45.3978
5.9056,8.764100045,63.6274
7.1066,7.777033851,74.4507
7.4775,7.330974864,48.0919
8.4425,8.039011889,62.5138
8.2221,7.203625983,70.8943
5.8153,7.422989281,75.516
35.7374,29.96281448,55.1397
25.6713,28.08093872,79.6729
29.4329,34.54616408,70.8888
82.1504,75.32890449,51.7524
70.7403,75.28161511,63.6886
86.916,74.67526903,76.1705
70.7523,74.20101675,70.5073
48.4686,58.76716107,60.1906
71.6145,71.00791925,70.9247
65.6438,67.24158958,82.9849
74.4304,73.36474762,74.4415
121.9548,89.40041217,34.4605
75.273,89.69192392,75.4143
10.8999,8.952953083,50.3552
5.3996,8.679995634,44.8914
13.039,9.080637126,59.5449
8.8202,7.04993447,80.7881
60.5296,49.14143729,54.7686
65.9116,66.74509782,69.582
61.6867,52.62459221,76.0065
70.7868,62.43289928,73.1961
17.2574,18.71262721,32.5979
24.8564,26.75967873,55.6924
43.4111,34.05871689,82.5765
31.21,26.75967873,54.1043
22.6555,21.08468144,31.4352
24.4976,25.53272883,51.5741
23.3102,40.55703758,81.6667
42.6635,51.4096563,71.2037
21.3417,18.88638363,42.7219
13.407,23.32656391,59.2282
9.9546,28.67000512,78.7348
17.5961,21.02142343,54.6
22.7224,21.10720924,64.7071
17.2059,10.80140665,86.8319
19.2002,10.80140665,88.2352
23.899,23.48092122,67.9298
9.5522,11.0129084,48.2498
12.3747,12.96117012,68.4967
9.5519,5.178148382,89.2529
11.5841,11.64439951,51.8322
23.6286,26.06665303,33.8186
33.169,26.64976887,45.898
50.879,47.09388474,67.0262
51.2681,32.08195649,90.9043
13.7997,14.67103259,38.7848
17.2144,16.14734861,50.8765
21.0619,18.29961087,62.8642
14.4399,16.14734861,50.2434
3.7351,2.952608513,59.5061
1.8373,3.184423517,55.1828
1.8409,3.204316225,68.6663
2.0651,3.242157334,49.1501
19.0378,29.13209722,53.4398
30.3618,29.62509564,64.0421
19.2891,24.06257586,76.5528
21.2644,29.49637182,54.7607
33.9978,18.9525366,73.5592
30.2226,25.03989261,60.4456
22.3345,19.97083313,74.1368
38.2556,22.53532838,65.1808
23.0106,22.33919694,52.9442
4.4779,4.258819077,56.3937
4.2913,4.62469379,67.2429
3.8116,4.399824673,78.9029
4.6345,3.917521546,48.0422
