y_test,y_pred,Porosity
14.8172,15.054145,47.9495
14.4954,14.024782,50.1729
5.6061,4.6915,69.5209
2.4082,3.127326,76.5149
10.255,9.270194,52.176
10.6616,10.824914,45.3978
5.5139,6.703774,63.6274
2.6082,3.064677,74.4507
8.4212,7.658275,48.0919
4.942,5.503512,62.5138
3.4839,3.35078,70.8943
2.2496,2.71648,75.516
5.6577,5.574566,55.1397
2.2644,2.424311,79.6729
2.9988,3.231914,70.8888
4.4023,4.738417,51.7524
2.4561,2.810057,63.6886
0.8635,1.378522,76.1705
1.1424,1.646999,70.5073
5.7713,4.641416,60.1906
2.4176,2.60058,70.9247
1.3322,1.468528,82.9849
1.8564,2.153772,74.4415
0.9766,2.617503,34.4605
0.2385,1.091303,75.4143
10.4526,10.066992,50.3552
10.4818,11.13509,44.8914
7.4087,7.394376,59.5449
2.3356,2.134331,80.7881
5.2045,4.814923,54.7686
3.085,3.567817,69.582
1.4604,1.919321,76.0065
3.4829,2.784125,73.1961
7.0989,7.322965,32.5979
2.6665,3.740037,55.6924
1.336,1.080616,82.5765
3.5676,3.767543,54.1043
7.9588,7.543114,31.4352
4.3214,4.056741,51.5741
1.3631,1.490954,81.6667
2.2764,2.528675,71.2037
8.1346,7.198237,42.7219
2.8134,3.680882,59.2282
0.762,1.837899,78.7348
3.7941,4.230072,54.6
5.1335,5.151823,64.7071
1.4946,1.133476,86.8319
1.2299,1.128008,88.2352
3.9954,4.049262,67.9298
7.6765,8.44015,48.2498
3.5037,3.563507,68.4967
0.7624,1.064438,89.2529
7.9145,8.04923,51.8322
7.0209,7.188608,33.8186
5.1942,5.042651,45.898
3.2341,3.046611,67.0262
0.8152,0.541811,90.9043
12.9635,12.772615,38.7848
8.7807,8.647923,50.8765
4.7099,5.297626,62.8642
9.0651,8.814436,50.2434
5.9658,5.079147,59.5061
5.6154,6.479927,55.1828
2.8854,3.200382,68.6663
7.1376,7.702215,49.1501
6.1104,6.438803,53.4398
3.8088,3.980981,64.0421
2.2828,1.972944,76.5528
5.9608,6.16377,54.7607
3.1673,2.940395,73.5592
6.6221,6.477819,60.4456
3.3932,2.824516,74.1368
5.3804,4.867988,65.1808
8.0489,7.584634,52.9442
8.1084,7.049735,56.3937
4.0702,4.547423,67.2429
1.1915,1.457463,78.9029
9.8382,8.633626,48.0422
