Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
56.7738,2900,73,12.3,257.0817,11.9741,12.9773,8.1624,0.6805,0.004906713
61.2289,2900,73,12.3,215.011,9.9764,10.6539,8.0407,0.56,0.004906312
64.6604,2900,73,12.3,179.1222,8.043,8.6174,10.0806,0.6289,0.004905063
66.8839,2900,73,12.3,139.4053,5.4073,5.8071,6.0019,0.2152,0.004905111
74.9998,2900,73,12.3,82.5571,3.2141,3.6186,11.4364,0.3126,0.004904528
48.707,2900,73,12.3,298.0797,14.3111,15.7485,8.0048,0.7889,0.004908844
56.0736,2900,73,12.3,250.7908,11.677,12.0973,6.2749,0.4456,0.004905899
54.7468,2900,73,12.3,267.5179,11.3131,12.3769,5.9851,0.4315,0.004906274
60.496,2900,73,12.3,227.8436,5.6172,6.2481,2.8365,0.0909,0.004908409
60.3813,2900,73,12.3,232.7574,3.879,4.6964,2.0694,0.0494,0.004916152
64.341,2900,73,12.3,181.5059,5.0569,5.8634,3.4579,0.1061,0.004912663
60.5246,2900,73,12.3,170.2902,8.0662,8.6555,7.8904,0.442,0.004906879
68.4481,2900,73,12.3,147.9916,4.3512,4.7968,3.569,0.0917,0.004908397
73.2964,2900,73,12.3,90.8232,3.5098,3.745,5.4444,0.122,0.004907259
74.4142,2900,73,12.3,88.7194,3.6926,3.9089,8.4917,0.2374,0.00490387
77.9112,2900,73,12.3,61.2494,2.1313,2.2615,4.1048,0.0504,0.004905176
77.5058,2900,73,12.3,57.8731,2.1264,2.3018,6.6962,0.1047,0.004904046
48.6554,2080,52,12,227.0254,10.0114,10.8813,6.1436,0.393,0.004905601
58.4636,2080,52,12,180.1318,7.8925,8.5704,6.5631,0.342,0.004905872
62.5731,2080,52,12,149.7825,6.879,7.5909,8.4165,0.4271,0.004905067
66.9294,2080,52,12,118.7963,5.2321,5.8141,8.8843,0.3564,0.004904173
73.0568,2080,52,12,84.2181,2.9791,3.3194,5.2752,0.1044,0.004903489
78.2315,2080,52,12,61.0032,2.1708,2.333,5.4366,0.0793,0.004902336
44.5349,2080,52,12,208.9045,10.4543,11.5691,7.7199,0.5467,0.004904076
50.5623,2080,52,12,205.4447,9.3681,10.3593,7.6097,0.4937,0.004906453
51.2344,2080,52,12,214.1216,8.6113,9.773,6.1986,0.3592,0.004908842
55.0156,2080,52,12,180.3295,8.837,9.7593,10.4112,0.7099,0.004906034
55.6834,2080,52,12,178.5562,7.7119,8.5193,6.5487,0.3389,0.004910023
56.8325,2080,52,12,164.0099,6.3418,7.1901,5.8041,0.2475,0.004905939
58.5974,2080,52,12,159.1264,5.7001,6.7836,5.7016,0.2294,0.004907049
64.2605,2080,52,12,123.5819,5.5445,6.3468,12.2155,0.5713,0.004904163
70.1578,2080,52,12,95.6351,3.4374,3.7642,5.3139,0.12,0.00490457
70.5524,2080,52,12,89.9306,3.6695,4.0697,8.6628,0.2442,0.004903331
74.6936,2080,52,12,61.8022,2.3727,2.7214,8.5742,0.1622,0.004902321
47.0562,2300,52,4,160.5017,7.0939,7.5153,7.3932,0.3487,0.00490464
47.1123,2300,52,4,150.2013,6.8676,7.4335,8.7116,0.4225,0.00490353
51.3155,2300,52,4,133.4142,6.0642,6.9239,10.5902,0.4997,0.004904018
52.9553,2300,52,4,144.3561,6.2194,7.0345,8.1419,0.372,0.004904364
53.1711,2300,52,4,136.8009,5.0797,5.7336,6.2551,0.2167,0.004903176
57.029,2300,52,4,119.8051,4.3687,5.0972,6.4119,0.2012,0.004903766
57.1067,2300,52,4,119.8693,4.8622,5.6895,8.4394,0.3108,0.004903677
57.1196,2300,52,4,119.0936,4.987,5.5567,8.2931,0.3068,0.004904372
63.0792,2300,52,4,97.3293,4.7019,4.9993,8.4983,0.2783,0.004904055
63.2604,2300,52,4,101.0121,4.2526,4.7547,7.4141,0.2225,0.004905293
65.828,2300,52,4,86.6209,3.2864,3.7842,6.4552,0.1493,0.004902684
66.2251,2300,52,4,89.3068,3.7114,4.2657,8.7003,0.2506,0.004903635
66.8465,2300,52,4,86.0639,3.4166,4.036,7.7397,0.2012,0.004903136
70.8468,2300,52,4,68.012,2.8915,3.0828,6.9192,0.1347,0.00490281
71.7358,2300,52,4,55.4692,2.8662,3.1593,6.7169,0.1317,0.004903207
75.7922,2300,52,4,53.4392,2.0569,2.4944,9.1691,0.1563,0.004902588
76.1029,2300,52,4,55.0654,2.1384,2.3955,8.9111,0.1523,0.004902831
51.7165,1000,28,55,91.9211,4.7436,6.2977,33.9226,1.7045,0.004902648
50.999,1000,28,55,98.4664,4.6797,5.7698,24.9623,1.157,0.004902418
55.4459,1000,28,55,82.8901,4.2414,5.3547,31.3641,1.3392,0.004902283
62.6532,1000,28,55,64.7957,3.3853,4.6712,40.0271,1.4742,0.004902423
62.9868,1000,28,55,64.6971,3.3631,4.5123,40.4353,1.4534,0.004902338
66.7984,1000,28,55,57.2697,2.8713,3.8486,35.3614,1.0646,0.004902378
65.7061,1000,28,55,56.3189,2.8094,3.7054,36.2397,1.0752,0.004902394
72.0817,1000,28,55,46.8626,2.2795,2.851,23.5692,0.5251,0.004902336
79.9791,1000,28,55,37.379,1.809,2.4735,34.0519,0.6558,0.004902263
85.6554,1000,28,55,26.0867,1.2259,1.4388,17.0565,0.1869,0.004902091
86.8848,1000,28,55,24.8515,1.0995,1.3576,19.3077,0.2036,0.004902322
43.4847,350,20,100,64.7576,3.2314,5.0347,62.4068,2.4202,0.004902413
46.3002,350,20,100,71.1185,3.3881,5.1186,61.053,2.4286,0.004902132
47.1119,350,20,100,62.171,2.8413,4.7236,69.2669,2.477,0.004902216
50.3309,350,20,100,56.7382,2.4781,4.2912,72.4443,2.3412,0.004902155
53.4491,350,20,100,52.9565,2.4823,4.4498,75.2214,2.4852,0.004902121
54.9669,350,20,100,32.6646,1.6335,3.7015,81.8396,2.0266,0.004902166
57.5761,350,20,100,30.745,1.5459,3.4264,78.4597,1.7913,0.004902119
58.0576,350,20,100,38.7236,1.7413,3.5014,78.2818,1.9633,0.004902156
58.163,350,20,100,29.0982,1.2866,3.1547,81.4619,1.7095,0.004902132
61.3637,350,20,100,22.8514,1.0285,2.7027,81.2813,1.4354,0.004902174
66.1281,350,20,100,13.7474,0.5993,1.9753,75.5113,0.9123,0.004902139
66.6188,350,20,100,16.7208,0.8225,2.0261,67.0216,0.8741,0.004902159
66.7701,350,20,100,16.4445,0.873,1.8093,58.375,0.7082,0.004902137
68.8565,350,20,100,9.8215,0.3256,1.2598,68.4143,0.5181,0.004902164
71.6904,350,20,100,8.0707,0.3603,1.3337,73.5294,0.6082,0.00490218
76.895,350,20,100,3.629,0.1367,0.7619,74.076,0.2998,0.004902123
77.9176,350,20,100,3.5099,0.1143,0.8354,79.9075,0.3422,0.004902148
49.219,396,20.6,173,137.5912,6.5483,7.1394,49.033,3.1375,0.004902055
50.7825,396,20.6,173,133.4287,6.6156,7.0212,43.5358,2.7597,0.004902353
51.338,396,20.6,173,138.391,6.666,7.071,46.8246,3.0001,0.004902235
56.5259,396,20.6,173,104.0745,5.0936,5.6528,50.6261,2.5477,0.004902512
56.8977,396,20.6,173,112.3794,5.0415,5.6348,52.4944,2.637,0.004902196
60.428,396,20.6,173,86.1403,3.8887,4.4594,51.4414,2.0252,0.00490241
60.643,396,20.6,173,86.3515,4.1125,4.7369,54.3604,2.2723,0.004902164
61.2613,396,20.6,173,81.6514,3.4084,4.3476,66.5621,2.4413,0.004902409
64.787,396,20.6,173,60.867,2.4695,3.3217,64.1255,1.7641,0.004902191
65.6338,396,20.6,173,62.3844,2.6414,3.4816,68.3679,1.9978,0.004902158
66.5298,396,20.6,173,61.1008,2.3515,2.9445,56.5123,1.4409,0.004902317
70.974,396,20.6,173,39.1749,1.8121,2.523,64.1277,1.3269,0.00490219
71.8117,396,20.6,173,30.6616,1.4905,2.1993,66.5128,1.157,0.004902215
75.1807,396,20.6,173,28.1501,1.1811,2.023,79.2559,1.1903,0.004902147
75.4988,396,20.6,173,22.8277,1.0533,1.7817,78.7957,1.0802,0.004902157
81.1033,396,20.6,173,23.5475,1.061,1.5008,64.4402,0.7943,0.004902195
83.0297,396,20.6,173,20.4428,0.9321,1.4328,71.4666,0.8395,0.004902183
41.2906,4.6,8.9,120,0.876,0.5333,0.6662,90.0332,0.3272,0.004902042
50.2851,4.6,8.9,120,0.6289,0.5229,0.595,97.7574,0.2984,0.004902039
55.4897,4.6,8.9,120,0.5408,0.4763,0.4854,88.8871,0.2152,0.004902037
