Porosity,YM,UTS,FStrain,Toughness
47.9495,2900,73,12.3,0.7817
56.7738,2900,73,12.3,0.6805
61.2289,2900,73,12.3,0.56
64.6604,2900,73,12.3,0.6289
66.8839,2900,73,12.3,0.2152
74.9998,2900,73,12.3,0.3126
48.707,2900,73,12.3,0.7889
50.1729,2900,73,12.3,0.6628
56.0736,2900,73,12.3,0.4456
54.7468,2900,73,12.3,0.4315
60.496,2900,73,12.3,0.0909
60.3813,2900,73,12.3,0.0494
64.341,2900,73,12.3,0.1061
60.5246,2900,73,12.3,0.442
69.5209,2900,73,12.3,0.157
68.4481,2900,73,12.3,0.0917
73.2964,2900,73,12.3,0.122
74.4142,2900,73,12.3,0.2374
77.9112,2900,73,12.3,0.0504
77.5058,2900,73,12.3,0.1047
76.5149,2900,73,12.3,0.0976
48.6554,2080,52,12,0.393
52.176,2080,52,12,0.4034
58.4636,2080,52,12,0.342
62.5731,2080,52,12,0.4271
66.9294,2080,52,12,0.3564
73.0568,2080,52,12,0.1044
78.2315,2080,52,12,0.0793
44.5349,2080,52,12,0.5467
45.3978,2080,52,12,0.3773
50.5623,2080,52,12,0.4937
51.2344,2080,52,12,0.3592
55.0156,2080,52,12,0.7099
55.6834,2080,52,12,0.3389
56.8325,2080,52,12,0.2475
58.5974,2080,52,12,0.2294
63.6274,2080,52,12,0.1987
64.2605,2080,52,12,0.5713
70.1578,2080,52,12,0.12
70.5524,2080,52,12,0.2442
74.4507,2080,52,12,0.1241
74.6936,2080,52,12,0.1622
47.0562,2300,52,4,0.3487
47.1123,2300,52,4,0.4225
48.0919,2300,52,4,0.3958
51.3155,2300,52,4,0.4997
52.9553,2300,52,4,0.372
53.1711,2300,52,4,0.2167
57.029,2300,52,4,0.2012
57.1067,2300,52,4,0.3108
57.1196,2300,52,4,0.3068
62.5138,2300,52,4,0.2705
63.0792,2300,52,4,0.2783
63.2604,2300,52,4,0.2225
65.828,2300,52,4,0.1493
66.2251,2300,52,4,0.2506
66.8465,2300,52,4,0.2012
70.8468,2300,52,4,0.1347
70.8943,2300,52,4,0.1897
71.7358,2300,52,4,0.1317
75.516,2300,52,4,0.0794
75.7922,2300,52,4,0.1563
76.1029,2300,52,4,0.1523
51.7165,1000,28,55,1.7045
50.999,1000,28,55,1.157
55.4459,1000,28,55,1.3392
55.1397,1000,28,55,1.5888
62.6532,1000,28,55,1.4742
62.9868,1000,28,55,1.4534
66.7984,1000,28,55,1.0646
65.7061,1000,28,55,1.0752
72.0817,1000,28,55,0.5251
70.8888,1000,28,55,0.6843
79.6729,1000,28,55,0.4576
79.9791,1000,28,55,0.6558
85.6554,1000,28,55,0.1869
86.8848,1000,28,55,0.2036
43.4847,350,20,100,2.4202
46.3002,350,20,100,2.4286
47.1119,350,20,100,2.477
