y_test,y_pred,Porosity
0.7817,0.414894542,47.9495
0.6628,0.34741749,50.1729
0.157,0.141849075,69.5209
0.0976,0.124745446,76.5149
0.4034,0.434048841,52.176
0.3773,0.454176221,45.3978
0.1987,0.373987718,63.6274
0.1241,0.163196247,74.4507
0.3958,0.377872364,48.0919
0.2705,0.271224533,62.5138
0.1897,0.102715277,70.8943
0.0794,0.129389244,75.516
1.5888,1.539651868,55.1397
0.4576,0.500146266,79.6729
0.6843,0.864661952,70.8888
2.5133,2.212229855,51.7524
1.1457,1.235516176,63.6886
0.3681,0.505932339,76.1705
0.4482,0.797857253,70.5073
2.4953,2.32885104,60.1906
1.3688,1.355166177,70.9247
0.7327,0.846587677,82.9849
1.0215,1.180683298,74.4415
0.6785,0.526809716,34.4605
0.0912,0.37714522,75.4143
0.8486,0.346772519,50.3552
0.3326,0.45113459,44.8914
0.754,0.295592399,59.5449
0.1531,0.136536439,80.7881
2.5968,1.920381301,54.7686
1.6189,1.63452417,69.582
0.6762,0.959778924,76.0065
1.9331,1.708036163,73.1961
1.0119,1.148727942,32.5979
0.529,0.756486246,55.6924
0.4386,0.251277539,82.5765
0.901,0.849539659,54.1043
1.5614,1.406907095,31.4352
0.896,1.02814995,51.5741
0.2431,0.419080129,81.6667
0.7938,0.833306384,71.2037
1.4276,1.153632782,42.7219
0.2886,0.755104523,59.2282
0.0522,0.416681415,78.7348
0.5242,0.812253711,54.6
0.9623,0.897777991,64.7071
0.2005,0.106926141,86.8319
0.1856,0.117410552,88.2352
0.7856,0.819668977,67.9298
0.5423,0.720119989,48.2498
0.335,0.346884573,68.4967
0.0487,0.02217499,89.2529
0.7008,0.65647631,51.8322
1.4201,1.394034993,33.8186
1.4927,1.374110706,45.898
1.3624,1.041981617,67.0262
0.2934,0.106636051,90.9043
1.2927,1.350801092,38.7848
1.2092,0.968671435,50.8765
0.8329,0.774713628,62.8642
0.9964,1.019217409,50.2434
0.1331,0.060821231,59.5061
0.0558,0.233437725,55.1828
0.0278,0.059983643,68.6663
0.0797,0.216022789,49.1501
0.9574,1.606751174,53.4398
0.939,0.976447242,64.0421
0.3394,0.41741502,76.5528
1.0547,1.410457624,54.7607
0.8466,0.596965044,73.5592
1.6916,1.416218434,60.4456
0.6311,0.53238813,74.1368
1.6547,0.982694763,65.1808
1.5801,1.392227581,52.9442
0.2133,0.24927199,56.3937
0.1045,0.133089956,67.2429
0.0288,0.053633953,78.9029
0.2711,0.272459039,48.0422
