y_test,y_pred,Porosity
291.8681,296.8462335,47.9495
287.0571,294.9905055,50.1729
144.9067,133.5004855,69.5209
54.2925,67.136296,76.5149
209.8464,200.718934,52.176
222.1336,215.9629995,45.3978
130.5197,132.429174,63.6274
62.1644,68.475488,74.4507
173.2676,153.1060945,48.0919
102.1577,107.4178305,62.5138
72.0647,63.697691,70.8943
55.8539,56.289901,75.516
77.8449,84.91868,55.1397
36.8816,36.946106,79.6729
45.1306,47.31696067,70.8888
46.6699,53.0673395,51.7524
20.6561,19.394948,63.6886
3.0183,6.5055325,76.1705
5.1284,8.728972,70.5073
115.7419,87.455028,60.1906
38.1376,37.026222,70.9247
21.448,21.5953395,82.9849
23.1932,27.865919,74.4415
1.1831,18.136138,34.4605
0.3244,3.9207565,75.4143
216.6598,221.475399,50.3552
259.075,236.0973055,44.8914
158.5425,165.2948415,59.5449
60.6674,68.0607135,80.7881
82.8236,85.40163775,54.7686
45.0885,67.94557827,69.582
16.6086,28.222696,76.0065
50.5626,43.15523775,73.1961
163.7376,164.6690185,32.5979
57.4677,75.6397495,55.6924
20.8592,11.9688145,82.5765
71.8967,76.786862,54.1043
156.0325,148.3045817,31.4352
101.0629,91.690508,51.5741
24.7961,21.1401175,81.6667
41.657,39.4526525,71.2037
146.1146,135.8203865,42.7219
69.2588,74.19662324,59.2282
17.0276,20.7687015,78.7348
82.5023,89.63009894,54.6
100.7878,105.3859925,64.7071
31.8542,23.516434,86.8319
25.0492,22.4836075,88.2352
83.3754,83.79861567,67.9298
185.2873,201.3222235,48.2498
87.4745,91.5656045,68.4967
14.506,25.7128855,89.2529
184.3759,177.213389,51.8322
138.8675,145.6378955,33.8186
103.5095,111.345888,45.898
58.3729,52.80641443,67.0262
10.1334,11.2967355,90.9043
218.0661,208.26999,38.7848
171.0999,156.822396,50.8765
95.4693,98.8568295,62.8642
157.2147,157.9845755,50.2434
220.5293,326.523208,59.5061
353.5041,325.533206,55.1828
167.634,164.7455745,68.6663
401.0421,354.905441,49.1501
124.903,125.451011,53.4398
70.9258,70.2339825,64.0421
42.535,42.6073555,76.5528
119.6614,121.0952875,54.7607
58.3214,67.730798,73.5592
135.1765,129.8780832,60.4456
74.1387,64.7788085,74.1368
101.1294,103.6808163,65.1808
174.6319,158.1296775,52.9442
244.4611,250.264528,56.3937
133.0854,139.5320665,67.2429
48.9371,51.1148925,78.9029
296.7101,277.834996,48.0422
