y_test,y_pred,Porosity
13.4369,13.469533,47.9495
13.368,13.043128,50.1729
5.0734,4.10283,69.5209
2.2698,2.776892,76.5149
9.4389,8.096366,52.176
9.7467,9.803249,45.3978
4.8606,6.059853,63.6274
2.4667,2.675187,74.4507
8.0136,6.964123,48.0919
4.061,4.955489,62.5138
3.0917,3.038686,70.8943
1.819,2.318857,75.516
4.3143,4.470474,55.1397
1.804,1.780875,79.6729
2.2675,2.429398,70.8888
2.1049,3.011294,51.7524
1.0299,1.000827,63.6886
0.1103,0.492674,76.1705
0.2827,0.574414,70.5073
5.217,4.027036,60.1906
1.559,1.915811,70.9247
0.9403,0.99934,82.9849
1.0528,1.355252,74.4415
0.4815,1.669073,34.4605
0.1855,0.35868,75.4143
9.7036,9.530448,50.3552
8.5618,9.853661,44.8914
6.6775,6.562162,59.5449
2.0826,1.897606,80.7881
3.9147,3.927029,54.7686
2.0875,2.529998,69.582
0.8824,1.492151,76.0065
2.2547,1.675059,73.1961
6.2712,6.476868,32.5979
2.0773,2.775445,55.6924
0.8151,0.697315,82.5765
2.5805,2.799662,54.1043
7.554,7.12885,31.4352
3.7168,3.390813,51.5741
0.9819,0.975891,81.6667
1.6485,1.692195,71.2037
7.0599,6.285228,42.7219
2.2132,3.077981,59.2282
0.5383,1.196877,78.7348
3.0471,3.661356,54.6
4.1653,4.189144,64.7071
1.0607,0.844739,86.8319
0.9237,0.833615,88.2352
3.0741,3.126858,67.9298
6.5652,7.009149,48.2498
2.821,2.953728,68.4967
0.6289,0.819776,89.2529
6.6652,6.864846,51.8322
6.2365,6.603399,33.8186
4.5033,4.443249,45.898
2.3593,2.117229,67.0262
0.4366,0.428398,90.9043
11.5776,10.962248,38.7848
7.8743,7.709594,50.8765
4.143,4.597662,62.8642
8.3298,7.86966,50.2434
5.8659,4.570889,59.5061
4.7795,5.093803,55.1828
2.5763,3.0101,68.6663
6.8304,6.676944,49.1501
5.443,5.530989,53.4398
2.9581,3.046318,64.0421
1.8797,1.71302,76.5528
5.3462,5.359544,54.7607
2.2645,2.75706,73.5592
5.6687,5.55098,60.4456
2.9485,2.751449,74.1368
3.9458,4.340481,65.1808
7.3005,7.086997,52.9442
7.1601,5.779249,56.3937
3.7728,3.979912,67.2429
0.9366,1.276665,78.9029
8.8343,8.191066,48.0422
