sr_test,sr_pred,ys_test,ys_pred
0.004907797,0.004906933,13.4369,13.469533
0.004905052,0.004906933,13.368,13.043128
0.004905773,0.004907028,5.0734,4.10283
0.004903737,0.004904452,2.2698,2.776892
0.00490639,0.004906838,9.4389,8.096366
0.004907213,0.004906838,9.7467,9.803249
0.004905463,0.004905982,4.8606,6.059853
0.004903692,0.00490275,2.4667,2.675187
0.004904368,0.004903916,8.0136,6.964123
0.004903937,0.004904349,4.061,4.955489
0.004903079,0.004903094,3.0917,3.038686
0.004902322,0.00490275,1.819,2.318857
0.004902338,0.004902412,4.3143,4.470474
0.004902301,0.004902253,1.804,1.780875
0.004902264,0.004902253,2.2675,2.429398
0.004902148,0.004902274,2.1049,3.011294
0.004902152,0.004902152,1.0299,1.000827
0.004902145,0.004902154,0.1103,0.492674
0.004902118,0.004902154,0.2827,0.574414
0.004902226,0.004902133,5.217,4.027036
0.004902182,0.004902155,1.559,1.915811
0.004902254,0.004902212,0.9403,0.99934
0.004902127,0.004902155,1.0528,1.355252
0.004902047,0.004902041,0.4815,1.669073
0.004902066,0.004902041,0.1855,0.35868
0.004904447,0.0049058,9.7036,9.530448
0.004908111,0.0049058,8.5618,9.853661
0.004903965,0.004904762,6.6775,6.562162
0.004903672,0.00490275,2.0826,1.897606
0.004902169,0.00490214,3.9147,3.927029
0.004902101,0.004902098,2.0875,2.529998
0.004902066,0.004902098,0.8824,1.492151
0.004902114,0.004902098,2.2547,1.675059
0.004902447,0.004902287,6.2712,6.476868
0.004902115,0.004902318,2.0773,2.775445
0.004902098,0.004902212,0.8151,0.697315
0.004902365,0.004902318,2.5805,2.799662
0.004902223,0.004902287,7.554,7.12885
0.004902131,0.004902318,3.7168,3.390813
0.004902308,0.004902212,0.9819,0.975891
0.004902073,0.004902155,1.6485,1.692195
0.004902387,0.004902452,7.0599,6.285228
0.004902405,0.004902279,2.2132,3.077981
0.004902169,0.004902334,0.5383,1.196877
0.00490231,0.004902279,3.0471,3.661356
0.004902854,0.004902504,4.1653,4.189144
0.004902619,0.004902882,1.0607,0.844739
0.004902374,0.004902882,0.9237,0.833615
0.004902451,0.004902504,3.0741,3.126858
0.004904142,0.004904133,6.5652,7.009149
0.004902506,0.004902504,2.821,2.953728
0.004902356,0.004902882,0.6289,0.819776
0.0049042,0.004904133,6.6652,6.864846
0.004902269,0.004902156,6.2365,6.603399
0.004902122,0.004902156,4.5033,4.443249
0.004902223,0.004902083,2.3593,2.117229
0.004902191,0.004902179,0.4366,0.428398
0.004903558,0.004905025,11.5776,10.962248
0.004902922,0.004904133,7.8743,7.709594
0.004902613,0.004902996,4.143,4.597662
0.00490349,0.004904133,8.3298,7.86966
0.004910121,0.004915656,5.8659,4.570889
0.004920289,0.004915656,4.7795,5.093803
0.004920255,0.004917156,2.5763,3.0101
0.004916127,0.004915656,6.8304,6.676944
0.004902497,0.004902222,5.443,5.530989
0.004902168,0.004902185,2.9581,3.046318
0.004902268,0.004902248,1.8797,1.71302
0.00490235,0.004902222,5.3462,5.359544
0.004902237,0.004902433,2.2645,2.75706
0.004902612,0.004902828,5.6687,5.55098
0.004902833,0.004902433,2.9485,2.751449
0.004902307,0.004902705,3.9458,4.340481
0.004902791,0.004902882,7.3005,7.086997
0.004910024,0.00490984,7.1601,5.779249
0.004907946,0.004906439,3.7728,3.979912
0.004903206,0.004904452,0.9366,1.276665
0.004909254,0.00490984,8.8343,8.191066
